香港,现存确诊,累计确诊,死亡,治愈
昌吉州,0,5,0,5
兵团第八师石河子市,0,4,0,3
兵团第九师,0,4,0,3
吐鲁番,0,3,0,3
巴州,0,3,0,3
兵团第十二师,0,3,0,3
兵团第六师五家渠市,0,2,0,2
兵团第七师,0,1,0,1
阿克苏地区,0,1,0,1
待明确地区,0,1,0,1
江西省,现存确诊,累计确诊,死亡,治愈
南昌,0,230,0,230
新余,0,129,0,129
上饶,0,123,0,123
九江,0,116,0,116
宜春,0,106,0,106
赣州,0,74,0,73
抚州,0,72,0,72
萍乡,0,33,0,33
吉安,0,22,0,22
鹰潭,0,18,0,18
境外输入,0,7,0,7
景德镇,0,6,0,6
赣江新区,0,1,0,1
重庆市,现存确诊,累计确诊,死亡,治愈
万州区,0,118,0,114
江北区,0,28,0,28
云阳县,0,25,0,25
合川区,0,23,0,23
綦江区,0,23,0,23
长寿区,0,22,0,22
奉节县,0,22,0,22
九龙坡区,0,21,0,20
开州区,0,21,0,20
忠县,0,21,0,21
渝中区,0,20,0,20
垫江县,0,20,0,20
潼南区,0,18,0,18
渝北区,0,17,0,17
两江新区,0,17,0,17
南岸区,0,15,0,15
石柱县,0,15,0,15
境外输入,0,15,0,15
大足区,0,14,0,14
巫溪县,0,14,0,14
铜梁区,0,10,0,10
丰都县,0,10,0,10
巫山县,0,10,0,10
沙坪坝区,0,9,0,9
璧山区,0,9,0,9
荣昌区,0,9,0,9
大渡口区,0,7,0,7
巴南区,0,6,0,6
涪陵区,0,5,0,5
永川区,0,5,0,5
江津区,0,4,0,4
梁平区,0,4,0,4
高新区,0,4,0,4
黔江区,0,2,0,2
城口县,0,2,0,2
彭水县,0,2,0,2
武隆区,0,1,0,1
秀山县,0,1,0,1
酉阳县,0,1,0,1
万盛经开区,0,1,0,1
吉林省,现存确诊,累计确诊,死亡,治愈
通化,0,313,0,312
长春,0,154,1,154
吉林市,0,60,12,59
四平,0,17,0,16
辽源,0,7,0,7
延边,0,7,1,7
公主岭,0,6,0,6
松原,0,6,0,6
梅河口,0,2,0,2
白城,0,1,0,1
海南省,现存确诊,累计确诊,死亡,治愈
三亚,0,57,0,56
海口,0,39,0,39
儋州,0,15,0,14
万宁,0,13,0,13
澄迈,0,9,0,8
昌江,0,7,0,7
琼海,0,6,0,5
临高,0,6,0,6
陵水,0,4,0,4
定安,0,3,0,2
文昌,0,3,0,3
东方,0,3,0,2
保亭,0,3,0,3
乐东,0,2,0,2
琼中,0,1,0,1
贵州省,现存确诊,累计确诊,死亡,治愈
贵阳,0,36,0,35
遵义,0,32,0,32
毕节,0,23,0,23
黔南州,0,17,0,17
六盘水,0,10,0,9
铜仁,0,10,0,10
黔东南州,0,10,0,10
安顺,0,4,0,4
黔西南州,0,4,0,4
境外输入,0,1,0,1
宁夏回族自治区,现存确诊,累计确诊,死亡,治愈
银川,0,36,0,36
吴忠,0,28,0,28
固原,0,5,0,5
中卫,0,4,0,4
宁东,0,1,0,1
石嘴山,0,1,0,1
青海省,现存确诊,累计确诊,死亡,治愈
西宁,0,15,0,15
海北州,0,3,0,3
西藏自治区,现存确诊,累计确诊,死亡,治愈
拉萨,0,1,0,1
